"Date","Value"
"1985",1.36493027559907
"1986",1.55755246415525
"1987",1.74216282407977
"1988",2.67668759398598
"1989",3.14983029006815
"1990",1.91318367235531
"1991",-1.14317619610876
"1992",-0.600919821914636
"1993",-0.915947299998687
"1994",-0.164815653863581
"1995",-0.876148722076409
"1996",-0.723904486736571
"1997",-0.0706122757303529
"1998",0.539235310244912
"1999",1.485596257698
"2000",1.93334664681806
"2001",-0.31751908027966
"2002",-1.36538932740424
"2003",-1.08425272900414
"2004",0.316523023375748
"2005",1.40577315251877
"2006",1.87343940508964
"2007",1.7362029862225
"2008",-0.0227657014706839
"2009",-4.02324161681075
"2010",-2.70624393934533
"2011",-2.51830306138747
"2012",-1.80901860851128
"2013",-1.46156003880368
"2014",-0.941253040240098
"2015",-0.209781031936707
"2016",-0.661088576436519
"2017",-0.521278681711135
"2018",0.0716635760469098
"2019",0.278724625402083
"2020",-4.12906929946377
"2021",-0.694353599883757
"2022",-0.64694730562781
"2023",-0.277034819284794
"2024",0.119448055390903
"2025",-0.444957321550676
"2026",-0.825221146440114
